N,Method,Pi,PiError,XY,XYError,ExpX,ExpXError,CallOption,CallOptionError,AnalyticCall
1000,MC,3.168,0.0264073,0.252584,0.00258415,1.69771,0.0205712,10.1374,0.313183,10.4506
1000,QMC,3.144,0.00240735,0.249755,0.000244939,1.71821,7.0661e-05,10.4249,0.0256474,10.4506
5000,MC,3.1608,0.0192073,0.253303,0.0033032,1.72662,0.00833555,10.3537,0.09689,10.4506
5000,QMC,3.1384,0.00319265,0.250051,5.08643e-05,1.71811,0.00017491,10.437,0.013553,10.4506
10000,MC,3.1476,0.00600735,0.249127,0.000873144,1.71689,0.00138715,10.2698,0.180817,10.4506
10000,QMC,3.1416,7.34641e-06,0.249943,5.74101e-05,1.71818,0.000106781,10.4419,0.00871652,10.4506
50000,MC,3.14704,0.00544735,0.24844,0.00156021,1.71657,0.00171577,10.312,0.138627,10.4506
50000,QMC,3.14192,0.000327346,0.249988,1.16652e-05,1.71826,1.88266e-05,10.4475,0.00311128,10.4506
100000,MC,3.1414,0.000192654,0.250397,0.000396639,1.7189,0.00061341,10.4475,0.0030607,10.4506
100000,QMC,3.14184,0.000247346,0.249998,1.67766e-06,1.71827,1.04928e-05,10.4482,0.00241433,10.4506
z`